代码,简称,公告标题,公告时间,公告
用途 
Magnifice
（HK） 
 
是 
 
13,600,000 
4.58% 
1.12% 
否 
否 
2024 年
11 月5
日 
至办理
解除质
押登记
手续之
日止 
平安银行
股份有限
公司深圳
分行 
偿还
债务 
4,850,000 
1.63% 
0.40% 
否 
否 
2024 年
11 月5
日 
至办理
解除质
押登记
手续之
日止 
上海浦东
发展银行
股份有限
公司深圳
分行 
偿还
债务 
6,900,000 
2.32% 
0.57% 
否 
否 
2024 年
11 月6
日 
至办理
解除质
押登记
手续之
日止 
招商银行
股份有限
公司纽约
分行 
偿还
债务 
合计 
 
25,350,000 
8.54% 
2.09% 
 
 
 
 
 
 
注：本次质押股份不存在负担重大资产重组等业绩补偿义务。
二、股东股份解除质押的基本情况 
股东名称 
是否为控股
股东或第一
大股东及其
一致行动人 
本次解除质
押股份数量
（股） 
占其所持股
份比例 
占公司总股
本比例 
起始日 
解除日期 
质权人 
Magnifice
（HK） 
 
是 
 
7,850,000 
2.64% 
0.65% 
2024 年3
月22 日 
2024 年11
月5 日 
招商银行股
份有限公司
纽约分行 
1,200,000 
0.40% 
0.10% 
2023 年1
月6 日 
2024 年11
月5 日 
平安银行股
份有限公司
深圳分行 
合计 
 
 9,050,000 
3.05% 
0.75%  
 
 
三、股东股份累计质押情况 
截至公告披露日，上述股东及其一致行动人所持质押股份情况如下： 
股东名称 
持股 
数量
（股） 
持股 
比例 
本次质
押及解
除质押
前的质
押股份
数量
（股） 
本次质
押及解
除质押
后的质
押股份
数量
（股） 
占其所
持股份
比例 
占公
司总
股本
比例 
已质押股份情况 
未质押股份情况 
已质押
股份限
售和冻
结、标
记数量
（股） 
占已
质押
股份
比例 
未质押股
份限售和
冻结数量
（股） 
占未
质押
股份
比例 
Smartco 
Development 
327,072,
335 
26.98% 
0 
0 
0% 
0% 
0 
0% 
0 
0% 
Magnifice
（HK） 
296,951,
000 
24.49% 36,820,
000 
53,120,
000 
17.89% 
4.38% 
0 
0% 
0 
0% 
合  计 
624,023,
335 
51.47% 36,820,
000 
53,120,
000 
8.51% 
4.38% 
0 
0% 
0 
0% 
四、上述质押的股份被冻结、拍卖或设定信托基本情况 
上述质押的股份不存在冻结、拍卖或设定信托的情况。 
五、上述质押的股份是否出现平仓风险 
上述质押的股份目前不存在平仓风险。若后续出现平仓风险，上述股东将积极采取措
施应对，公司将按规定及时履行信息披露义务。 
六、备查文件 
1、股票质押合同； 
2、股份质押登记证明； 
3、解除证券质押登记通知； 
4、中国证券登记结算有限责任公司证券质押及司法冻结明细表。
特此公告。 
 
深圳迈瑞生物医疗电子股份有限公司董事会 
2024 年11 月6 日"
300760,迈瑞医疗,2024年第二次中期权益分派实施公告,2024-10-30 17:32:11,"证券代码：300760             证券简称：迈瑞医疗             公告编号：2024-049 
 
深圳迈瑞生物医疗电子股份有限公司 
2024年第二次中期权益分派实施公告 
 
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误
导性陈述或重大遗漏。 
 
深圳迈瑞生物医疗电子股份有限公司（下称“本公司”或“公司”）2024年第二次中
期权益分派方案已获2024年10月29日召开的第八届董事会第十次会议和第八届监事会第八
次会议审议通过，在公司2023年年度股东大会决议授权范围内，无需再次提交股东大会审
议。现将权益分派事宜公告如下： 
一、股东大会授权及董事会审议通过利润分配方案等情况 
1、公司于2024年5月17日召开2023年年度股东大会，审议通过了《关于授权董事会制
定中期分红方案的议案》，同意授权董事会根据股东大会决议在符合利润分配的条件下制定
具体的2024年中期分红方案。公司于2024年10月29日召开第八届董事会第十次会议和第八
届监事会第八次会议，审议通过了《关于2024年第二次中期利润分配方案的议案》，2024年
第二次中期利润分配方案为：以公司2024年9月30日的总股本1,212,441,394股为基数，向全
体股东每10 股派发现金股利人民币16.50 元（含税），共计派发现金股利人民币 
2,000,528,300.10元（含税）。若公司股本总额在权益分派实施前发生变化，公司将按照分配
总额不变的原则对分配比例进行调整。 
2、自本次分配方案披露至本公告日，公司股本总额未发生变化。 
3、本次实施的分配方案符合公司2023年年度股东大会审议通过的《关于授权董事会制
定中期分红方案的议案》相关要求，无需再次提交股东大会审议。 
4、本次实施分配方案距离董事会通过利润分配方案时间未超过两个月。 
二、本次实施的权益分配方案 
本公司2024年第二次中期权益分派方案为：以公司现有总股本1,212,441,394股为基数，
向全体股东每10股派16.50元人民币现金（含税；扣税后，通过深股通持有股份的香港市场
投资者、QFII、RQFII以及持有首发前限售股的个人和证券投资基金每10股派14.85元；持有
首发后限售股、股权激励限售股及无限售流通股的个人股息红利税实行差别化税率征收，
本公司暂不扣缴个人所得税，待个人转让股票时，根据其持股期限计算应纳税额【注】；持
有首发后限售股、股权激励限售股及无限售流通股的证券投资基金所涉红利税，对香港投
资者持有基金份额部分按10%征收，对内地投资者持有基金份额部分实行差别化税率征收）。 
【注：根据先进先出的原则，以投资者证券账户为单位计算持股期限，持股1个月（含
1个月）以内，每10股补缴税款3.30元；持股1个月以上至1年（含1年）的，每10股补缴税款
1.65元；持股超过1年的，不需补缴税款。】 
三、股权登记日与除权除息日 
本次权益分派股权登记日为：2024年11月6日，除权除息日为：2024年11月7日 
四、权益分派对象 
本次分派对象为：截止2024年11月6日下午深圳证券交易所收市后，在中国证券登记结
算有限责任公司深圳分公司（以下简称“中国结算深圳分公司”）登记在册的本公司全体股
东。 
五、权益分派方法 
1、本公司此次委托中国结算深圳分公司代派的A股股东现金红利将于2024年11月7日
通过股东托管证券公司（或其他托管机构）直接划入其资金账户。 
2、以下A股股东的现金红利由本公司自行派发： 
序号 
股东账号 
股东名称 
1 
08*****298 
順高發展有限公司 
2 
08*****295 
Magnifice（HK）Limited 
3 
08*****297 
宏聨（香港）有限公司 
4 
08*****087 
深圳睿福管理咨询合伙企业（有限合伙） 
5 
08*****085 
深圳睿隆咨询服务合伙企业（有限合伙） 
注： “順高發展有限公司”为“Smartco  Development  Limited”的中文名称；“宏聨（香港）有
限公司”为“Ever  Union（H.K.）Limited”的中文名称。 
在权益分派业务申请期间（申请日：2024年10月30日至登记日：2024年11月6日），如
因自派股东证券账户内股份减少而导致委托中国结算深圳分公司代派的现金红利不足的，
一切法律责任与后果由本公司自行承担。 
六、有关咨询方法 
咨询机构：深圳迈瑞生物医疗电子股份有限公司董事会办公室 
咨询地址：深圳市南山区高新技术产业园区科技南十二路迈瑞总部大厦  
咨询联系人：杨女士 
咨询电话：0755-8188 8398  
传真电话：0755-26582680-88398 
七、备查文件 
1、深圳迈瑞生物医疗电子股份有限公司第八届董事会第十次会议决议； 
2、深圳迈瑞生物医疗电子股份有限公司2023年年度股东大会决议； 
3、中国结算深圳分公司确认有关权益分派具体时间安排的文件； 
4、深圳证券交易所要求的其他文件。 
 
 
深圳迈瑞生物医疗电子股份有限公司董事会 
 
2024 年10 月30 日"
300760,迈瑞医疗,关于继续使用部分闲置募集资金进行现金管理的公告,2024-10-30 00:00:00,"证券代码：300760              证券简称：迈瑞医疗            公告编号：2024-046 
 
深圳迈瑞生物医疗电子股份有限公司 
关于继续使用部分闲置募集资金进行现金管理的公告 
 
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误
导性陈述或重大遗漏。 
 
为持续提高深圳迈瑞生物医疗电子股份有限公司（以下简称“公司”）及子公司资金利
用效率，继续合理利用闲置募集资金，优化经济效益，公司于2024年10月29日召开第八届董
事会第十次会议及第八届监事会第八次会议，审议通过了《关于继续使用部分闲置募集资
金进行现金管理的议案》，同意在确保募集资金安全和不影响公司正常经营的情况下，继续
使用闲置募集资金进行现金管理，购买安全性高、流动性好的存款类产品或保本型产品，包
括但不限于大额存单、定期存款、结构性存款、通知存款、协定存款、短期保本型产品等，
使用期限自董事会审议通过之日起至2025年10月31日内有效，有效期内业务实施总额不超
过6.37亿元（含本数）。在上述额度及决议有效期内，业务可循环滚动开展。具体内容公告
如下： 
一、募集资金基本情况 
经中国证券监督管理委员会《关于核准深圳迈瑞生物医疗电子股份有限公司首次公开
发行股票的批复》（证监许可[2018]1436号）核准，公司首次公开发行人民币普通股12,160
万股，募集资金总额为人民币593,408.00万元，扣除发行费用18,228.05万元，募集资金净额
为575,179.95万元。 
上述募集资金到位情况已由普华永道中天会计师事务所（特殊普通合伙）审验，并已
于2018年10月10日出具“普华永道中天验字(2018)第0626号”《验资报告》。公司已对募集资
金采取了专户存储，相关募集资金已全部存放于募集资金专户，并且公司及相关子公司与
存放募集资金的商业银行、保荐机构签订了《募集资金三方监管协议》《募集资金四方监管
协议》。
二、募集资金投资项目的基本情况 
根据《深圳迈瑞生物医疗电子股份有限公司首次公开发行股票并在创业板上市招股说
明书》及公司召开的第七届董事会第三次会议、第七届董事会第五次会议、第七届董事会
第十次会议、2019年年度股东大会和2020年年度股东大会，公司首次公开发行股票募集资
金扣除发行费用后，将全部用于以下项目： 
单位：万元 
序号 
项目名称 
拟用募集资金投入 
1 
光明生产基地扩建项目 
73,387.49 
2 
南京迈瑞外科产品制造中心建设项目 
79,592.45 
3 
研发创新平台升级项目 
6,753.38 
4 
营销服务体系升级项目 
39,442.05 
5 
信息系统建设项目 
33,732.05 
6 
偿还银行贷款及补充运营资金项目 
179,999.99 
7 
武汉研究院项目 
162,272.54 
合计 
575,179.95 
注：公司实际募集资金净额为575,179.95万元，与《招股说明书》披露的募集资金拟投入总额
575,179.96万元有差异，故调减偿还银行贷款及补充运营资金项目0.01万元，调整后该项目拟使用募集资
金投入金额为179,999.99万元。 
由于募投项目已结项，现阶段募集资金在短期内出现部分闲置的情况。 
三、本次使用部分闲置募集资金进行现金管理的基本情况 
（一）现金管理目的 
为提高公司及子公司资金利用效率，在确保募集资金安全和不影响公司正常经营的情
况下，合理利用部分暂时闲置募集资金进行现金管理，可优化经济效益，为公司及股东获取
更多的回报。 
（二）额度及期限 
根据公司当前的资金使用状况、募投项目建设进度并考虑保持充足的流动性，公司及子
公司拟继续使用闲置募集资金进行现金管理，使用期限自董事会审议通过之日起至2025年
10月31日内有效，有效期内业务实施总额不超过6.37亿元（含本数）。在上述额度及决议有
效期限内，业务可循环滚动开展。 
（三）现金管理产品品种 
公司将按照相关规定严格控制风险，对现金管理产品进行严格评估，拟购买安全性高、
流动性好的存款类产品或保本型产品，包括但不限于大额存单、定期存款、结构性存款、通
知存款、协定存款、短期保本型产品等。 
上述产品不得质押，产品专用结算账户不得存放非募集资金或者用作其他用途，开立或
者注销产品专用结算账户的，公司将及时报深圳证券交易所备案并公告。 
（四）决议有效期限 
自董事会审议通过之日起至2025年10月31日内有效。 
（五）实施方式 
授权公司经营管理层及其再授权人士在上述额度及决议有效期内行使决策权、签署相
关文件并办理相关具体事宜，包括但不限于：选择合格的专业金融机构、明确现金管理金
额、期间、选择产品/业务品种、签署合同及协议等。 
（六）信息披露 
公司将按照《上市公司监管指引第2号—上市公司募集资金管理和使用的监管要求》
《深
圳证券交易所上市公司自律监管指引第2号——创业板上市公司规范运作》等相关要求及时
履行信息披露义务。 
四、投资风险分析及风险控制措施 
（一）投资风险 
1、主要受货币政策、财政政策、产业政策等宏观政策及相关法律法规政策发生变化的
影响，尤其是金融市场受宏观经济的影响较大，存在一定的系统性风险。  
2、相关工作人员的操作及监控风险。 
（二）风险控制措施 
1、严格筛选投资对象，选择信誉好、规模大、有能力保障资金安全，经营效益好、资
金运作能力强的公司所发行的产品。  
2、公司将实时分析和跟踪产品的净值变动情况，如评估发现存在可能影响公司资金安
全的风险因素，将及时采取相应措施，控制投资风险。  
3、独立董事、监事会有权对资金使用情况进行监督与检查。 
4、资金使用情况由公司内审部门进行日常监督，定期对所有现金管理产品项目进行全
面检查，并根据谨慎性原则，合理地预计各项投资可能发生的收益和损失。  
5、公司将根据深圳证券交易所的有关规定，及时履行信息披露义务。 
五、对公司日常经营的影响 
公司坚持规范运作、保值增值、防范风险，在确保募集资金安全和不影响公司正常经营
的情况下，使用部分暂时闲置募集资金购买安全性高、流动性好的存款类产品或保本型产
品，包括但不限于大额存单、定期存款、结构性存款、通知存款、协定存款、短期保本型产
品等。通过进行适度的现金管理，有助于提高公司资金使用效率、增加资金收益，符合公司
发展和全体股东利益的需要。 
六、本次继续使用部分闲置募集资金进行现金管理所履行的程序 
（一）董事会审议情况 
2024年10月29日，公司第八届董事会第十次会议审议通过了《关于继续使用部分闲置募
集资金进行现金管理的议案》，同意在确保募集资金安全和不影响公司正常经营的情况下，
继续使用闲置募集资金进行现金管理，购买安全性高、流动性好的存款类产品或保本型产
品，包括但不限于大额存单、定期存款、结构性存款、通知存款、协定存款、短期保本型产
品等，使用期限自此次董事会审议通过之日起至2025年10月31日内有效，有效期内业务实施
总额不超过6.37亿元（含本数）。在上述额度及决议有效期内，业务可循环滚动开展。在授
权额度范围内，授权公司经营管理层及其再授权人士在上述额度及决议有效期内行使决策
权、签署相关文件并办理相关具体事宜，包括但不限于：选择合格的专业金融机构、明确现
金管理金额、期间、选择产品/业务品种、签署合同及协议等。 
（二）监事会审议情况 
2024年10月29日，公司第八届监事会第八次会议审议通过了《关于继续使用部分闲置募
集资金进行现金管理的议案》，经审核，公司监事会认为：公司及子公司拟继续使用闲置募
集资金进行现金管理，购买安全性高、流动性好的存款类产品或保本型产品，包括但不限于
大额存单、定期存款、结构性存款、通知存款、协定存款、短期保本型产品等，决策程序符
合《上市公司监管指引第2号——上市公司募集资金管理和使用的监管要求》以及《深圳证
券交易所上市公司自律监管指引第2号——创业板上市公司规范运作》等相关规定，未与募
投项目的实施计划抵触，不影响募投项目的正常进行，不存在变相改变募集资金投向和损
害股东利益的情况。公司及子公司对部分闲置募集资金进行现金管理的行为有助于提高公
司资金使用效率，增加资金收益，符合公司发展和全体股东利益的需要。因此，同意公司及
子公司继续使用闲置募集资金进行现金管理，使用期限自董事会审议通过之日起至2025年
10月31日内有效，有效期内业务实施总额不超过6.37亿元（含本数）。在上述额度及决议有
效期内，业务可循环滚动开展。 
（三）保荐机构核查意见 
经核查，保荐机构华泰联合证券有限责任公司（以下简称“保荐机构”）认为：公司及
子公司本次继续使用部分闲置募集资金进行现金管理的事项经公司董事会、监事会审议通
过，符合相关的法律法规并履行了必要的法律程序。公司及子公司本次继续使用部分闲置
募集资金进行现金管理的事项符合《深圳证券交易所上市公司自律监管指引第2号——创业
板上市公司规范运作》等相关法律法规的规定，不存在变相改变募集资金使用用途的情形，
不影响募集资金投资计划的正常进行，并且能够提高资金使用效率，符合公司和全体股东
的利益。 
综上所述，保荐机构对公司及子公司继续使用部分闲置募集资金进行现金管理的事项
无异议。 
七、备查文件 
1、《深圳迈瑞生物医疗电子股份有限公司第八届董事会第十次会议决议》； 
2、《深圳迈瑞生物医疗电子股份有限公司第八届监事会第八次会议决议》； 
3、华泰联合证券有限责任公司出具的《关于深圳迈瑞生物医疗电子股份有限公司继续
使用部分闲置募集资金进行现金管理的核查意见》。 
 
特此公告。 
 
 
深圳迈瑞生物医疗电子股份有限公司董事会 
 
2024 年10 月30 日"
300760,迈瑞医疗,关于会计政策变更的公告,2024-10-30 00:00:00,"证券代码：300760                                证券简称：迈瑞医疗                      公告编号：2024-048 
  
深圳迈瑞生物医疗电子股份有限公司 
关于会计政策变更的公告  
 
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误
导性陈述或重大遗漏。 
 
特别提示： 
深圳迈瑞生物医疗电子股份有限公司（下称“公司”）本次会计政策变更是根据国家
统一的会计制度要求作出的变更，无需提交公司董事会和股东大会审议，对公司财务状况、
经营成果和现金流量无重大影响，不存在损害公司及全体股东利益的情形。  
一、本次会计政策变更的概述 
1、变更原因 
2024 年3 月，财政部会计司编写并发行了《企业会计准则应用指南汇编2024》，其中
明确了企业因保证类质量保证产生的预计负债，应当按确定的金额，借记“主营业务成
本”、“其他业务成本”等科目，贷记“预计负债”科目。根据上述规定和要求，公司需
对原采用的相关会计政策进行相应变更。 
2、变更日期  
公司自2024 年1 月1 日起开始执行。 
3、变更前采用的会计政策  
本次会计政策变更前，公司执行财政部发布的《企业会计准则——基本准则》和各项
具体会计准则、企业会计准则应用指南、企业会计准则解释公告以及其他相关规定。 
4、变更后采用的会计政策  
本次会计政策变更后，公司将根据财政部会计司编写的《企业会计准则应用指南汇编
2024》有关内容执行。除上述会计政策变更外，其余未变更部分，仍执行财政部颁布的
《企业会计准则——基本准则》和各项具体会计准则、企业会计准则应用指南、企业会计
准则解释公告及其他相关规定。
二、本次会计政策变更对公司的影响  
公司自2024 年1 月1 日起执行《企业会计准则应用指南汇编2024》中关于保证类质量
保证的会计处理规定，按确定的金额，借记“主营业务成本”、“其他业务成本”等科目，
贷记“预计负债”科目。 
因执行该项会计处理规定，公司追溯调整了比较期间财务报表，但不会对比较期间的
净资产及净利润产生影响，不会导致已披露的财务报告出现盈亏性质改变。具体追溯调整
影响情况如下： 
单位：元 
2023年1-9月（合并） 
项目 
追溯调整前 
追溯调整后 
影响金额 
销售费用 
3,989,365,767 
3,453,925,831 
-535,439,936 
营业成本 
9,251,094,921 
9,786,534,857 
535,439,936 
 
本次会计政策变更是公司根据财政部发布的相关规定和要求进行，变更后会计政策能
够客观、公允地反映公司的财务状况和经营成果，符合相关法律法规规定和公司实际情况。
本次会计政策变更不会对公司当期的财务状况、经营成果和现金流量产生重大影响，亦不
存在损害公司及股东利益的情形。  
  
特此公告。 
 
深圳迈瑞生物医疗电子股份有限公司董事会 
2024 年10 月30 日"
300760,迈瑞医疗,第八届董事会第十次会议决议公告,2024-10-30 00:00:00,"证券代码：300760              证券简称：迈瑞医疗            公告编号：2024-044 
 
深圳迈瑞生物医疗电子股份有限公司 
第八届董事会第十次会议决议公告 
 
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误
导性陈述或重大遗漏。 
 
一、董事会会议召开情况 
深圳迈瑞生物医疗电子股份有限公司（以下简称“公司”）第八届董事会第十次会议于
2024年10月29日上午10:10在安徽砀山以现场加通讯表决相结合的方式召开，会议通知于
2024年10月25日以电子邮件等方式送达全体董事。 
会议由公司董事长李西廷先生主持。本次会议应出席董事人数11人，实际出席董事人数
11人，其中董事徐航先生以通讯表决方式参会。本次会议的召集、召开符合《中华人民共和
国公司法》（以下简称“《公司法》”）和《深圳迈瑞生物医疗电子股份有限公司章程》（以下
简称“《公司章程》”）等有关规定。 
 
二、董事会会议审议情况 
经与会董事充分讨论，本次会议审议并通过了如下议案： 
1、审议通过《关于<2024年第三季度报告>的议案》 
经审议，董事会编制和审核的《2024年第三季度报告》，符合法律、行政法规、中国证
监会和深圳证券交易所的规定，报告内容真实、准确、完整地反映了公司2024年前三季度经
营的实际情况，不存在任何虚假记载、误导性陈述或者重大遗漏。 
本议案已经公司董事会审计委员会审议通过。 
具体内容详见公司同日刊载于巨潮资讯网（www.cninfo.com.cn）上的《2024年第三季度
报告》。
表决结果：同意票11票、反对票0票、弃权票0票。 
2、审议通过《关于继续使用部分闲置募集资金进行现金管理的议案》 
经审议，董事会同意在确保募集资金安全和不影响公司正常经营的情况下，继续使用闲
置募集资金进行现金管理，购买安全性高、流动性好的存款类产品或保本型产品，包括但不
限于大额存单、定期存款、结构性存款、通知存款、协定存款、短期保本型产品等，使用期
限自此次董事会审议通过之日起至2025年10月31日内有效，有效期内业务实施总额不超过
6.37亿元（含本数）。在上述额度及决议有效期内，业务可循环滚动开展。在授权额度范围
内，授权公司经营管理层及其再授权人士在上述额度及决议有效期内行使决策权、签署相关
文件并办理相关具体事宜，包括但不限于：选择合格的专业金融机构、明确现金管理金额、
期间、选择产品/业务品种、签署合同及协议等。 
保荐机构出具了核查意见。 
具体内容详见公司同日刊载于巨潮资讯网（www.cninfo.com.cn）上的相关公告。 
表决结果：同意票11票、反对票0票、弃权票0票。 
3、审议通过《关于公司向银行申请综合授信额度的议案》 
为了满足公司经营发展需要，公司董事会同意公司向中国银行股份有限公司前海蛇口
分行申请不超过人民币50亿元的综合授信额度，授信期限自此次董事会审议通过之日起至
2025年10月31日内有效。 
以上综合授信额度不等于公司的实际融资金额，实际融资金额应在综合授信额度内，以
银行与公司实际发生的融资金额为准。公司董事会授权董事长代表公司在上述额度内，根据
公司实际资金需求状况，具体批准办理与综合授信业务有关的事宜并签署相关的法律文件。 
表决结果：同意票11票、反对票0票、弃权票0票。 
4、审议通过《关于2024年第二次中期利润分配方案的议案》 
经审议，董事会认为：公司综合考虑投资者的回报需求和公司的长远发展，在保证正
常经营业务发展的前提下拟定的2024年第二次中期利润分配方案符合公司实际情况，符合
《公司法》《公司章程》的规定。 
本议案已经公司董事会审计委员会审议通过，在公司2023年年度股东大会决议授权范
围内，无需再次提请股东大会审议。
具体内容详见公司同日刊载于巨潮资讯网（www.cninfo.com.cn）上的相关公告。 
表决结果：同意票11票、反对票0票、弃权票0票。 
 
三、备查文件 
1、《深圳迈瑞生物医疗电子股份有限公司第八届董事会第十次会议决议》； 
2、《深圳迈瑞生物医疗电子股份有限公司第八届董事会审计委员会2024年第四次会议
决议》； 
3、华泰联合证券有限责任公司出具的相关核查意见。 
 
特此公告。 
 
 
深圳迈瑞生物医疗电子股份有限公司董事会 
 
2024 年10 月30 日"
300760,迈瑞医疗,关于2024年第二次中期利润分配方案公告,2024-10-30 00:00:00,"证券代码：300760             证券简称：迈瑞医疗             公告编号：2024-047 
 
深圳迈瑞生物医疗电子股份有限公司 
关于2024年第二次中期利润分配方案公告 
 
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误
导性陈述或重大遗漏。 
 
深圳迈瑞生物医疗电子股份有限公司（以下简称“公司”）于2024年5月17日召开2023
年年度股东大会，审议通过了《关于授权董事会制定中期分红方案的议案》，同意授权公
司董事会在符合利润分配的条件下制定具体的2024年中期分红方案。公司于2024年10月29
日召开第八届董事会第十次会议和第八届监事会第八次会议，审议通过了《关于2024年第
二次中期利润分配方案的议案》。现将相关事项公告如下： 
一、利润分配方案基本情况 
为积极响应监管号召、提高股东回报，公司推动一年多次分红，结合监管规则，以2023
年经审计的未分配利润为基准，合理考虑当期利润情况实施中期分红。根据《上市公司监
管指引第3号——上市公司现金分红》《深圳迈瑞生物医疗电子股份有限公司章程》（以下
简称“《公司章程》”）等有关规定，综合考虑投资者的回报需求和公司的长远发展，在保
证正常经营业务发展的前提下，公司拟定2024年第二次中期利润分配方案如下： 
以公司2024年9月30日的总股本1,212,441,394股为基数，向全体股东每10股派发现金股
利人民币16.50元（含税），合计拟派发现金股利人民币2,000,528,300.10元（含税）。董事会
审议利润方案后若发生股本变动，将按照分配总额不变的原则对分配比例进行调整。 
本次利润分配方案符合《中华人民共和国公司法》（以下简称“《公司法》”）、《企业会
计准则》、证监会《关于进一步落实上市公司现金分红有关事项的通知》、证监会《上市公
司监管指引第3号—上市公司现金分红》及《公司章程》等规定，符合公司的利润分配政
策、股东回报规划、2023年年度股东大会审议批准的2024年中期现金分红条件，该利润分
配方案合法、合规、合理。本次利润分配方案在公司2023年年度股东大会决议授权范围内，
经公司董事会审议通过后，无需再次提请股东大会审议。 
二、董事会意见 
公司董事会认为：公司综合考虑投资者的回报需求和公司的长远发展，在保证正常经
营业务发展的前提下拟定的2024年第二次中期利润分配方案符合公司实际情况，符合《公
司法》《公司章程》的规定。 
三、监事会意见 
公司监事会认为：公司2024年第二次中期利润分配方案考虑了公司的实际情况，有利
于公司的健康稳定发展，符合《公司章程》的相关规定，不存在损害公司股东尤其是中小
股东的利益的情形。同意公司2024年第二次中期利润分配方案。 
四、备查文件 
1、《深圳迈瑞生物医疗电子股份有限公司第八届董事会第十次会议决议》； 
2、《深圳迈瑞生物医疗电子股份有限公司第八届董事会审计委员会2024年第四次会议
决议》； 
3、《深圳迈瑞生物医疗电子股份有限公司第八届监事会第八次会议决议》。 
 
特此公告。 
 
 
深圳迈瑞生物医疗电子股份有限公司董事会 
2024 年10 月30 日"
300760,迈瑞医疗,2024年三季度报告,2024-10-30 00:00:00,"深圳迈瑞生物医疗电子股份有限公司2024 年第三季度报告 
1 
